"176285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SEKAR WIJAYA"
"177285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"178285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MULYO"
"179285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. TERA"
"180285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. CANDI SARI"
"181285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. DUTA JAYA"
"182285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"MEGA PUTRA"
"183285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Karya Manunggal"
"184285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KAYON"
"185285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"Firli Abdi"
"186285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. DUTA JAYA"
"187285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. CANDI SARI"
"191285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV KARUNIA SAHASRA PRADIPTA"
"192285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. MAJU SARANA MULYA"
"194285";"Jasa Lainnya";"Pemerintah Kabupaten Bantul";"PT. ASURANSI UMUM BUMIPUTERA MUDA 1967"
"198285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. ANANDA KARYA"
"200285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. LESTARI"
"201285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MULYO"
"202285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MULTI TEKNIK CORPORATION"
"203285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. DUTA PEMBANGUNAN"
"204285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.BINTANG SELATAN"
"206285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KESUMA JAYA RAYA"
"207285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. SARANA PERSADA JAYA RAYA"
"208285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARYA MANDIRI"
"209285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. JAYA MAKMUR"
"210285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARYA MANDIRI"
"211285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KESUMA JAYA RAYA"
"212285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"cv. mekar sejahtera"
"213285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PB. SARI AGUNG"
"214285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"cv. mekar sejahtera"
"215285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. CANDI SARI"
"216285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. INDRA BARATA PERKASA"
"217285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. DUTA JAYA"
"218285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.HADI PUTRA"
"219285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. GSAANEMER"
"220285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARIZQA SARANA MANDIRI"
"221285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. BAYU UTAMA"
"222285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARTIKA BUANA"
"223285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. PAKER BARU"
"224285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. RIZKY BANGUN SARANA"
"225285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. CANDI SARI"
"226285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PB. SARI AGUNG"
"227285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Karya Manunggal"
"228285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.CITRA PRAKARSA UTAMA"
"229285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV ATNAWIJAYA"
"230285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"MEGA PUTRA"
